code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,psychological_risk,total_clicks,avg_score,active_days,engagement_variability,inactivity_days,engagement_slope,assessment_consistency,persona_cluster,persona,attention_score,confusion_score,boredom_score,cognitive_overload_score,stability_score,intervention_style
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,1944.0,78.0,177.0,2.1504792222024074,100.0,-0.0204069462616118,10.677078252031311,4,Consistent Learner,77.82451,22.175493,0.0,86.36363636363636,63.10346380472041,Advanced learning opportunities
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,0,1150.0,76.6,58.0,3.713609923605412,191.0,-0.0685204318126491,5.412947441089744,3,Passive Watcher,48.80639,51.19361,0.0,75.0,56.6975933587982,Interactive participation encouragement
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,0,4777.0,79.6,161.0,10.544281759696586,107.0,-0.0535433277029369,3.209361307176242,4,Consistent Learner,88.567154,11.432844,0.0,78.0,66.67429141343447,Advanced learning opportunities
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,1,465.0,60.0,33.0,3.9596867014886863,105.0,-0.2096596906833529,11.269427669584644,2,Anxiety-Spike Learner,68.486145,31.513851,28.000000000000004,84.00000000000001,60.175487432837095,Guided pacing and stress reduction
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,0,733.0,53.4,47.0,3.720843046150259,216.0,-0.0561983700778096,9.96493853468249,3,Passive Watcher,19.368172,80.63183,60.0,95.0,40.21577565128325,Interactive participation encouragement
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,998.0,63.4,70.0,3.261595710856658,182.0,0.0004344805768183,6.580273550544841,5,Last-Minute Survivor,81.41029,18.589706,10.0,64.99999999999999,71.04956609638111,Deadline management coaching
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,0,2343.0,81.0,136.0,4.718380810309517,123.0,-0.061739079626731,1.7320508075688772,4,Consistent Learner,86.64904,13.350959,11.11111111111111,44.44444444444444,79.16207191508201,Advanced learning opportunities
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,3553.0,77.6,195.0,4.010960258816111,75.0,-0.0615682212023944,2.1908902300206634,4,Consistent Learner,77.56513,22.434866,10.0,64.99999999999999,69.51805791372797,Advanced learning opportunities
AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,0,757.0,71.8,50.0,3.9244320543223887,216.0,-0.0851060252967546,3.7682887362833535,5,Last-Minute Survivor,68.94492,31.055075,7.5,57.49999999999999,69.1734976485592,Deadline management coaching
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,0,1358.0,72.8,120.0,2.8868621032648405,154.0,-0.0307178840393221,10.756393447619883,2,Anxiety-Spike Learner,83.94047,16.059528,20.0,68.0,71.01786996557838,Guided pacing and stress reduction
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,0,1886.0,62.4,108.0,4.205671080570343,134.0,-0.0448184754419737,9.528903399657276,5,Last-Minute Survivor,97.828125,2.1718736,0.0,15.909090909090908,92.57112147011291,Deadline management coaching
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,0,1108.0,74.2,98.0,3.4866229761807244,140.0,-0.0960511298850869,3.0331501776206204,5,Last-Minute Survivor,97.0066,2.993401,0.0,13.0,93.50665867460643,Deadline management coaching
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,0,284.0,61.8,27.0,2.582052336222925,251.0,-0.0314353616829902,10.256705123966467,5,Last-Minute Survivor,72.278366,27.721632,0.0,75.75757575757575,64.64624663540044,Deadline management coaching
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,2041.0,71.4,127.0,3.5690653680702096,130.0,-0.0724344103448041,2.607680962081061,5,Last-Minute Survivor,87.808586,12.191413,0.0,52.94117647058824,77.09944838711385,Deadline management coaching
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,0,1321.0,69.6,89.0,4.165428200012517,161.0,-0.0041508885074862,3.577708763999661,3,Passive Watcher,18.68542,81.31458,13.333333333333334,80.0,44.83999726666249,Interactive participation encouragement
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,1,1888.0,81.0,110.0,4.0334689932919625,41.0,-0.0191032702125865,4.09878030638384,5,Last-Minute Survivor,98.91221,1.0877895,0.0,45.16129032258065,83.23915039470913,Deadline management coaching
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,0,520.0,67.4,32.0,3.322662133416623,220.0,-0.0273579751310547,5.770615218501402,5,Last-Minute Survivor,84.5164,15.483594,16.129032258064516,46.7741935483871,78.13985010606542,Deadline management coaching
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,0,2732.0,84.4,138.0,5.595923893061459,140.0,-0.0559499042246489,2.40831891575846,4,Consistent Learner,95.60271,4.3972993,2.0,47.0,81.00225893564618,Advanced learning opportunities
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,1,73.0,0.0,14.0,1.4798106541691454,34.0,0.1255890669180019,0.0,1,Burnout Pattern,84.900055,15.099949,4.761904761904762,50.0,77.80674678194362,Mental wellness intervention
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,1,610.0,53.142857142857146,43.0,4.034626735636948,201.0,-0.0396383775388361,9.788233947425033,5,Last-Minute Survivor,93.578674,6.4213276,14.000000000000002,63.0,75.51468188812102,Deadline management coaching
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,5528.0,80.2,192.0,4.552387749828511,68.0,-0.0362784492291803,5.630275304103698,4,Consistent Learner,88.41686,11.583136,9.67741935483871,61.29032258064515,74.19138455650878,Advanced learning opportunities
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,0,1823.0,72.6,92.0,2.7765208489801494,173.0,-0.0494102757611984,2.880972058177588,5,Last-Minute Survivor,96.91946,3.0805414,8.0,36.0,86.04764591700662,Deadline management coaching
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,1,756.0,48.833333333333336,41.0,2.927405474348399,202.0,-0.0019547433598987,9.968283035040018,5,Last-Minute Survivor,91.426796,8.573202,10.0,53.0,78.49979750855053,Deadline management coaching
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,2121.0,73.6,95.0,3.7177430603976447,152.0,-0.0170947289472779,6.268971207462992,3,Passive Watcher,16.701984,83.29802,26.666666666666668,95.0,39.328078979867456,Interactive participation encouragement
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,5645.0,68.8,200.0,3.341266324793647,77.0,-0.0053048725698463,7.758865896508329,4,Consistent Learner,87.37643,12.623574,10.0,39.0,81.67838655840211,Advanced learning opportunities
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,0,452.0,54.4,35.0,3.317472392159001,236.0,-0.0180045274169986,14.758048651498612,2,Anxiety-Spike Learner,77.06077,22.939228,28.57142857142857,90.47619047619048,61.089036377216836,Guided pacing and stress reduction
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,1,597.0,50.0,32.0,2.8731498713513144,233.0,-0.0012851973893295,8.74642784226795,3,Passive Watcher,39.76508,60.23492,28.57142857142857,67.85714285714286,56.34492909050194,Interactive participation encouragement
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,1,1718.0,68.66666666666667,127.0,9.270635400478875,128.0,-0.0001904742093002,14.404860290887932,5,Last-Minute Survivor,95.42311,4.576892,0.0,60.63829787234043,75.1713915757269,Deadline management coaching
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,1,155.0,52.0,9.0,3.7981060748875306,59.0,0.1898564442341063,0.0,1,Burnout Pattern,95.64853,4.3514743,2.272727272727273,34.09090909090909,85.91983684473446,Mental wellness intervention
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1,3812.0,79.5,198.0,2.9988179445938314,95.0,-0.0480190477698222,8.38365757206926,4,Consistent Learner,81.71026,18.289738,22.0,52.0,75.57048135180206,Advanced learning opportunities
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,0,270.0,50.0,20.0,3.610116587774389,220.0,0.0875380202537666,3.6742346141747673,5,Last-Minute Survivor,93.9884,6.0115914,0.0,54.0,78.79276400407521,Deadline management coaching
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,0,1529.0,67.0,81.0,4.340591543384445,172.0,0.0012461491065927,5.147815070493501,2,Anxiety-Spike Learner,58.616352,41.38365,10.526315789473683,71.05263157894737,61.074375625889395,Guided pacing and stress reduction
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,0,4003.0,79.8,202.0,4.456223071563128,75.0,-0.0407774875147054,1.6431676725154978,4,Consistent Learner,83.60096,16.39904,4.0,27.0,84.04824564281229,Advanced learning opportunities
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,1,2645.0,78.14285714285714,134.0,3.4567547050591143,133.0,-0.0582184282760287,6.229729031789729,4,Consistent Learner,84.89663,15.103372,4.0,61.0,73.4799577649803,Advanced learning opportunities
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,0,1405.0,70.6,87.0,4.076841658847137,163.0,-0.0173349970135032,10.4546640309481,3,Passive Watcher,34.909557,65.09044,33.33333333333333,81.66666666666667,49.72201722482873,Interactive participation encouragement
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,1,2062.0,68.2,124.0,3.519544095827104,101.0,-0.0366994967927528,4.086563348340509,3,Passive Watcher,18.560045,81.43996,33.33333333333333,88.33333333333333,42.23572085694652,Interactive participation encouragement
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,0,466.0,71.8,51.0,1.8142728820392888,222.0,-0.0085101083898312,9.338094023943,3,Passive Watcher,19.672394,80.32761,30.0,98.33333333333334,39.84159459487578,Interactive participation encouragement
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,1510.0,69.4,99.0,3.1538443464941377,169.0,-0.0344867816769493,10.18822850156002,5,Last-Minute Survivor,81.25914,18.740858,9.090909090909092,63.63636363636363,71.48964467238075,Deadline management coaching
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,0,745.0,66.4,42.0,2.780549955265719,215.0,-0.0271142360257389,10.644247272588135,3,Passive Watcher,25.592964,74.407036,3.333333333333333,86.66666666666667,45.3819157926892,Interactive participation encouragement
AAA,2013J,172112,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,0,1939.0,69.6,135.0,2.893922541792897,138.0,0.0477115234832712,6.188699378706322,2,Anxiety-Spike Learner,80.97609,19.023907,22.22222222222222,72.22222222222221,68.6199827453283,Guided pacing and stress reduction
AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,0,1782.0,61.4,86.0,5.291989877099289,192.0,-0.0134632024425507,5.272570530585626,5,Last-Minute Survivor,82.63893,17.36107,3.333333333333333,46.66666666666666,76.89342448541134,Deadline management coaching
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,0,6318.0,80.4,249.0,3.525851354576568,29.0,-0.0558821818218772,2.60768096208106,4,Consistent Learner,93.47094,6.5290647,12.0,50.0,79.98169464847447,Advanced learning opportunities
AAA,2013J,175392,M,North Region,HE Qualification,,35-55,0,60,N,Pass,0,4447.0,82.4,197.0,2.9001812917922654,79.0,-0.0965026759907431,7.23187389270582,4,Consistent Learner,95.79006,4.2099366,2.0,43.0,83.29662736940259,Advanced learning opportunities
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,0,2016.0,78.2,97.0,6.505404073332254,166.0,-0.0903606545447356,3.898717737923584,5,Last-Minute Survivor,98.96745,1.0325497,0.0,36.66666666666667,85.26512652000036,Deadline management coaching
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,1,138.0,37.6,17.0,4.321564342613325,232.0,-0.0435285013396696,9.07193474403338,2,Anxiety-Spike Learner,72.29799,27.702013,54.54545454545454,95.45454545454544,57.50729240094708,Guided pacing and stress reduction
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,0,2012.0,53.4,157.0,2.339325279931142,116.0,-0.0280630219932164,8.619744775803978,2,Anxiety-Spike Learner,87.40679,12.593213,20.0,60.0,75.02248724002295,Guided pacing and stress reduction
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,1,487.0,76.0,20.0,4.021946498879211,56.0,-0.3766140258244131,0.0,0,Silent Isolator,53.80268,46.197315,35.714285714285715,67.85714285714286,60.641198547992644,Social engagement support
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,0,1975.0,54.0,116.0,4.6904271814549325,136.0,-0.0360545690318437,2.8284271247461894,5,Last-Minute Survivor,89.56535,10.434643,9.090909090909092,45.45454545454546,79.80679478799988,Deadline management coaching
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,0,964.0,49.0,58.0,2.88788653495716,198.0,-0.0045551930042285,12.668859459319927,5,Last-Minute Survivor,70.59469,29.405313,4.0,64.99999999999999,67.56893348834762,Deadline management coaching
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,0,1312.0,59.8,147.0,2.408542381899253,126.0,-0.0324700584556577,5.890670590009256,5,Last-Minute Survivor,85.04265,14.957351,0.0,62.85714285714285,73.2589879203193,Deadline management coaching
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,1,427.0,74.0,15.0,4.775888558519476,34.0,0.3395803938408686,0.0,1,Burnout Pattern,83.92576,16.07424,9.090909090909092,63.63636363636363,71.83783593503897,Mental wellness intervention
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,0,2136.0,76.0,109.0,4.558384856214495,168.0,-0.1008461333196416,11.999999999999998,5,Last-Minute Survivor,71.5837,28.4163,3.333333333333333,50.0,72.34177171459517,Deadline management coaching
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,0,8562.0,89.2,231.0,4.955846794087942,44.0,-0.1074661725189997,1.095445115010332,4,Consistent Learner,89.83256,10.167441,11.11111111111111,33.333333333333336,83.84779295752624,Advanced learning opportunities
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,1,4497.0,71.66666666666667,167.0,3.3534129346278267,123.0,-0.1606815948935172,5.85377371160405,2,Anxiety-Spike Learner,77.167984,22.832018,40.0,80.0,64.60485635512406,Guided pacing and stress reduction
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,1541.0,79.4,84.0,3.267519863602821,172.0,-0.0351039069994574,6.268971207462994,5,Last-Minute Survivor,97.16622,2.833777,10.0,45.0,82.96623437879906,Deadline management coaching
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,0,3219.0,68.4,176.0,6.780217066543831,76.0,0.0191906616468987,7.092249290598859,4,Consistent Learner,97.90739,2.0926142,14.000000000000002,38.0,84.37572291115205,Advanced learning opportunities
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,1,1905.0,50.0,58.0,6.557931603235652,130.0,0.0252608207384402,0.0,5,Last-Minute Survivor,89.50243,10.497566,4.0,56.00000000000001,75.64816746558812,Deadline management coaching
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,0,534.0,54.4,81.0,2.089044399436302,181.0,-0.0239125753723587,13.296616110875728,5,Last-Minute Survivor,94.5907,5.409298,16.0,46.0,82.1672192001879,Deadline management coaching
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,1,1418.0,66.66666666666667,47.0,5.030275072366054,106.0,-0.0894655068001207,4.163331998932267,2,Anxiety-Spike Learner,66.72199,33.278008,17.647058823529413,52.94117647058824,69.5835134856819,Guided pacing and stress reduction
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,1665.0,72.2,126.0,3.0473653837167576,152.0,-0.0715959166663802,10.73312629199899,5,Last-Minute Survivor,62.356506,37.643494,0.0,61.53846153846154,65.92355969260723,Deadline management coaching
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,1,333.0,56.66666666666666,32.0,3.8138029364659474,184.0,-0.0969084297762655,14.571661996262929,5,Last-Minute Survivor,90.02581,9.974189,0.0,46.0,80.07066935451135,Deadline management coaching
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,0,2953.0,83.6,162.0,4.327660575777786,91.0,-0.0645099269752552,0.5477225575051643,4,Consistent Learner,87.718376,12.281626,4.0,52.0,77.13023780807407,Advanced learning opportunities
AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,1,1205.0,62.6,69.0,3.794254388249138,203.0,-0.0949540142430811,5.128352561983235,2,Anxiety-Spike Learner,86.465385,13.534617,20.0,65.0,72.55704287058362,Guided pacing and stress reduction
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,0,227.0,72.4,37.0,1.1159128271995518,216.0,-0.0087990536293778,9.502631214563678,3,Passive Watcher,21.595818,78.40418,20.0,83.33333333333333,45.71552461315571,Interactive participation encouragement
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0,445.0,61.8,38.0,2.3459550142332515,205.0,-0.0064181233006463,10.183319694480774,5,Last-Minute Survivor,65.85749,34.1425,8.0,49.0,71.50384832858892,Deadline management coaching
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,614.0,66.0,50.0,4.379484371457725,200.0,-0.0525445202583266,6.9641941385920605,5,Last-Minute Survivor,75.63415,24.365856,4.0,63.0,69.41821987618076,Deadline management coaching
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,0,1215.0,78.0,123.0,3.796977374624981,155.0,-0.0017198139219554,3.24037034920393,5,Last-Minute Survivor,85.56467,14.435333,16.666666666666664,46.66666666666666,78.36700765290279,Deadline management coaching
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,0,1839.0,67.75,86.0,5.107703805957681,172.0,-0.0537651156412583,8.341662504161464,5,Last-Minute Survivor,84.274895,15.725107,12.5,50.0,76.38906306468077,Deadline management coaching
